year,month,day,spisanie,platezhi
2017,1,1,0,0
2017,2,1,14636,29271
2017,3,1,10863,21725
2017,4,1,28399,56796
2017,5,1,44909,50978
2017,6,1,65991,61615
2017,7,1,84712,95185
2017,8,1,104180,182959
2017,9,1,133821,125078
2017,10,1,172712,186688
2017,11,1,190990,182701
2017,12,1,215855,150116
2018,1,1,214354,245111
2018,2,1,237091,262408
2018,3,1,332768,349782
2018,4,1,321910,304730
2018,5,1,343650,321374
2018,6,1,353988,330295
2018,7,1,376797,360650
2018,8,1,311132,419011
2018,9,1,341097,403304
2018,10,1,379942,320381
2018,11,1,423500,1039695
2018,12,1,462000,433564
2019,1,1,494876,614613
2019,2,1,526126,365171
2019,3,1,536899,518961
2019,4,1,540472,599962
2019,5,1,548759,554660
2019,6,1,579792,560882
2019,7,1,593262,620024
2019,8,1,622468,682746
2019,9,1,648013,659469
2019,10,1,667635,650841
2019,11,1,667757,663694
2019,12,1,687754,639031
2020,1,1,649877,867761
2020,2,1,680759,570702
2020,3,1,744240,712262
2020,4,1,713163,773710
2020,5,1,913990,979576
2020,6,1,944704,880303
2020,7,1,971457,907050
2020,8,1,1059200,967344
2020,9,1,1117829,916901
2020,10,1,1040952,1076405
2020,11,1,1142923,927438
2020,12,1,1178392,860257
2021,1,1,1239834,1396985
2021,2,1,1392480,1301894
2021,3,1,1206709,1188899
2021,4,1,1325135,1072029
2021,5,1,1344938,1489991
2021,6,1,1456785,1466588
2021,7,1,1619050,1511659
2021,8,1,1651836,1614656
2021,9,1,1747646,1709825
2021,10,1,1644521,1719936
2021,11,1,1813030,2008775
2021,12,1,1826059,1643858
2022,1,1,1895593,1914886
2022,2,1,1917897,1582219
2022,3,1,1871874,1748077
2022,4,1,1902110,1984806
2022,5,1,2041686,1937808
2022,6,1,2201410,2179383
2022,7,1,2294934,2181285
2022,8,1,2469718,2279093
2022,9,1,2463068,2247936
2022,10,1,2271990,2233685
2022,11,1,2342326,2363343
2022,12,1,2434526,2316754
2023,1,1,2463996,2712406
2023,2,1,2421790,2413992
